코인명,심볼,현재가,SMA45,Envelope상단,Envelope하단,하단선거리(%),체크시간
Uniswap,UNI,6.049,8.736577777777777,12.668037777777776,4.805117777777777,25.886612560774342,2025-10-12 02:19:42
Pepe,PEPE,7.06e-06,9.939777777777776e-06,1.4412677777777776e-05,5.466877777777777e-06,29.14135429729341,2025-10-12 02:19:43
