date,open,high,low,close,mode,position,stage,event,basis,level_name,level_price,trigger_price,fill_price,H,L_now,rebound_from_L_pct,threshold_pct,forbidden_levels_above_last_sell
2023-05-04,1.4016,1.499,1.2961,1.3303,high,False,,,,,,,,2.0,,,,7
2023-05-05,1.3303,1.38,1.26,1.3064,high,False,,,,,,,,2.0,,,,7
2023-05-06,1.3067,1.3752,1.27,1.3297,high,False,,,,,,,,2.0,,,,7
2023-05-07,1.3299,1.3469,1.22,1.2431,high,False,,,,,,,,2.0,,,,7
2023-05-08,1.243,1.2439,1.0222,1.1374,wait,True,2,BUY B2,LOW,B2,1.04,1.0222,1.04,2.0,1.0222,,,0
2023-05-08,1.243,1.2439,1.0222,1.1374,wait,True,2,ADD B1,LOW,B1,1.12,1.0222,1.12,2.0,1.0222,,,0
