universe,symbol,name,market_cap,last_price,mode,in_position,stage,next_buy_level,next_buy_price,pct_to_next_buy,pct_to_next_buy_abs,H,L_now,drawdown_from_H_pct,rebound_from_L_pct,buy_allowed_today,sell_restricted,notes
COIN,BTCUSDT,Bitcoin,2478918782321.0,124357.67,high,N,0,-,,,,,,,,,,
COIN,ETHUSDT,Ethereum,565531911904.0,4685.0,high,N,0,-,,,,,,,,,,
COIN,XRPUSDT,XRP,178744794322.0,2.9828,high,N,0,-,,,,,,,,,,
COIN,BNBUSDT,BNB,170837912898.0,1228.14,high,N,0,-,,,,,,,,,,
COIN,SOLUSDT,Solana,127485645289.0,233.33,high,N,0,-,,,,,,,,,,
COIN,DOGEUSDT,Dogecoin,40439476682.0,0.26759,high,N,0,-,,,,,,,,,,
COIN,TRXUSDT,TRON,32801748876.0,0.3464,high,N,0,-,,,,,,,,,,
COIN,ADAUSDT,Cardano,31820587552.0,0.8712,high,N,0,-,,,,,,,,,,
COIN,LINKUSDT,Chainlink,15892005112.0,23.44,high,N,0,-,,,,,,,,,,
COIN,SUIUSDT,Sui,13123487101.0,3.6208,high,N,0,-,,,,,,,,,,
COIN,XLMUSDT,Stellar,12985101537.0,0.4057,high,N,0,-,,,,,,,,,,
COIN,AVAXUSDT,Avalanche,12823151813.0,30.38,high,N,0,-,,,,,,,,,,
COIN,BCHUSDT,Bitcoin Cash,11870326968.0,595.0,high,N,0,-,,,,,,,,,,
COIN,HBARUSDT,Hedera,9708827090.0,0.22887,high,N,0,-,,,,,,,,,,
COIN,LTCUSDT,Litecoin,9023768271.0,118.12,high,N,0,-,,,,,,,,,,
COIN,SHIBUSDT,Shiba Inu,7567492314.0,1.3e-05,high,N,0,-,,,,,,,,,,
COIN,TONUSDT,Toncoin,7143011615.0,2.838,high,N,0,-,,,,,,,,,,
COIN,DOTUSDT,Polkadot,6663808321.0,4.377,high,N,0,-,,,,,,,,,,
COIN,UNIUSDT,Uniswap,5007573355.0,8.345,high,N,0,-,,,,,,,,,,
COIN,AAVEUSDT,Aave,4511621970.0,296.02,high,N,0,-,,,,,,,,,,
COIN,ENAUSDT,Ethena,4302661763.0,0.601,high,N,0,-,,,,,,,,,,
COIN,PEPEUSDT,Pepe,4278755049.0,1e-05,high,N,0,-,,,,,,,,,,
COIN,NEARUSDT,NEAR Protocol,3814477003.0,3.051,high,N,0,-,,,,,,,,,,
COIN,APTUSDT,Aptos,3724149345.0,5.295,high,N,0,-,,,,,,,,,,
COIN,ASTERUSDT,Aster,3475302816.0,2.054,high,N,0,B7,0.63,-69.328,69.328,3.0,,-31.533,,,,
COIN,TAOUSDT,Bittensor,3287414646.0,342.4,high,N,0,-,,,,,,,,,,
COIN,ETCUSDT,Ethereum Classic,3076248439.0,20.01,high,N,0,-,,,,,,,,,,
COIN,ONDOUSDT,Ondo,3051440857.0,0.9656,high,N,0,-,,,,,,,,,,
COIN,BNSOLUSDT,Binance Staked SOL,2808897583.0,251.1,high,N,0,-,,,,,,,,,,
COIN,USD1USDT,USD1,2677112567.0,0.9997,high,N,0,-,,,,,,,,,,
