date,open,high,low,close,mode,position,stage,event,basis,level_name,level_price,trigger_price,fill_price,H,L_now,rebound_from_L_pct,threshold_pct,forbidden_levels_above_last_sell
2023-05-03,0.1,2.0,0.1,1.4016,wait,False,,SELL S1,HIGH,B1,1.12,2.0,2.0,2.0,,,7.7,7
2023-05-04,1.4016,1.499,1.2961,1.3303,wait,False,,,,,,,,2.0,,,,7
2023-05-05,1.3303,1.38,1.26,1.3064,wait,False,,,,,,,,2.0,,,,7
2023-05-06,1.3067,1.3752,1.27,1.3297,wait,False,,,,,,,,2.0,,,,7
2023-05-07,1.3299,1.3469,1.22,1.2431,wait,False,,,,,,,,2.0,,,,7
2023-05-08,1.243,1.2439,1.0222,1.1374,wait,False,,SELL S1,HIGH,B1,1.12,1.2439,1.2439,2.0,,,7.7,7
2023-05-09,1.1377,1.2158,1.0932,1.1842,wait,False,,SELL S1,HIGH,B1,1.12,1.2158,1.2158,2.0,,,7.7,7
2023-05-10,1.1842,1.2448,1.0988,1.1787,wait,False,,SELL S1,HIGH,B1,1.12,1.2448,1.2448,2.0,,,7.7,7
2023-05-11,1.1788,1.1819,1.0336,1.0736,wait,False,,SELL S1,HIGH,B1,1.12,1.1819,1.1819,2.0,,,7.7,7
2023-05-12,1.0737,1.1229,1.013,1.1152,wait,False,,SELL S1,HIGH,B1,1.12,1.1229,1.1229,2.0,,,7.7,7
2023-05-13,1.115,1.14,1.0855,1.0994,wait,True,1,BUY B1,LOW,B1,1.12,1.0855,1.12,2.0,1.0855,5.020728,7.7,7
2023-05-14,1.0993,1.2049,1.0677,1.1591,wait,False,,SELL S1,HIGH,,,1.2049,1.2049,2.0,,,7.7,7
2023-05-15,1.1589,1.2548,1.1241,1.193,wait,False,,,,,,,,2.0,,,,7
2023-05-16,1.1934,1.2071,1.1405,1.1651,wait,False,,,,,,,,2.0,,,,7
2023-05-17,1.1654,1.2155,1.1115,1.2131,wait,False,,SELL S1,HIGH,B1,1.12,1.2155,1.2155,2.0,,,7.7,7
2023-05-18,1.2131,1.2245,1.1266,1.1415,wait,False,,,,,,,,2.0,,,,7
2023-05-19,1.1413,1.1494,1.1153,1.1304,wait,True,1,BUY B1,LOW,B1,1.12,1.1153,1.12,2.0,1.1153,3.057473,7.7,7
2023-05-20,1.1304,1.1343,1.108,1.124,wait,True,1,,,,,,,2.0,1.108,2.373646,7.7,7
2023-05-21,1.1241,1.153,1.051,1.073,wait,False,,SELL S1,HIGH,,,1.153,1.153,2.0,,,7.7,7
2023-05-22,1.0729,1.0781,1.0337,1.0502,wait,True,1,BUY B1,LOW,B1,1.12,1.0337,1.12,2.0,1.0337,4.29525,7.7,7
2023-05-23,1.0502,1.098,1.0228,1.0533,wait,True,1,,,,,,,2.0,1.0228,7.352366,7.7,7
2023-05-24,1.0532,1.0532,0.9413,0.9784,wait,False,,SELL S1,HIGH,,,1.0532,1.0532,2.0,,,7.7,6
2023-05-25,0.9784,1.0103,0.9366,0.982,wait,True,2,BUY B2,LOW,B2,1.04,0.9366,1.04,2.0,0.9366,7.868887,17.3,6
2023-05-26,0.9821,1.01,0.9627,0.9911,wait,True,2,,,,,,,2.0,0.9366,7.836857,17.3,6
2023-05-27,0.9911,1.0176,0.9827,0.998,wait,True,2,,,,,,,2.0,0.9366,8.648302,17.3,6
2023-05-28,0.998,1.0729,0.9926,1.0617,wait,True,2,,,,,,,2.0,0.9366,14.552637,17.3,6
2023-05-29,1.0619,1.1,1.0225,1.0392,wait,False,,SELL S2,HIGH,,,1.1,1.1,2.0,,,17.3,6
2023-05-30,1.0391,1.0619,0.9893,1.0011,wait,True,2,BUY B2,LOW,B2,1.04,0.9893,1.04,2.0,0.9893,7.338522,17.3,6
2023-05-31,1.001,1.0097,0.9429,0.9743,wait,True,2,,,,,,,2.0,0.9429,7.084526,17.3,6
2023-06-01,0.9746,0.9794,0.94,0.9461,wait,True,2,,,,,,,2.0,0.94,4.191489,17.3,6
2023-06-02,0.946,0.963,0.905,0.9414,wait,True,2,,,,,,,2.0,0.905,6.40884,17.3,6
2023-06-03,0.9414,0.9568,0.9068,0.9333,wait,True,2,,,,,,,2.0,0.905,5.723757,17.3,6
2023-06-04,0.9332,0.9785,0.9266,0.9602,wait,True,2,,,,,,,2.0,0.905,8.121547,17.3,6
2023-06-05,0.9604,0.9715,0.75,0.8169,wait,False,,SELL S2,HIGH,,,0.9715,0.9715,2.0,,,17.3,5
2023-06-06,0.8171,0.8496,0.7553,0.8314,wait,True,3,BUY B3,LOW,B3,0.92,0.7553,0.92,2.0,0.7553,12.485105,24.4,5
2023-06-07,0.8314,0.8314,0.7433,0.7572,wait,True,3,,,,,,,2.0,0.7433,11.852549,24.4,5
2023-06-08,0.7572,0.7937,0.715,0.7287,wait,True,3,,,,,,,2.0,0.715,11.006993,24.4,5
2023-06-09,0.7287,0.7627,0.7102,0.7382,wait,True,3,,,,,,,2.0,0.7102,7.392284,24.4,5
2023-06-10,0.7382,0.7417,0.51,0.6095,wait,False,,SELL S3,HIGH,,,0.7417,0.7417,2.0,,,24.4,3
2023-06-11,0.6095,0.6242,0.5865,0.6055,wait,True,5,BUY B5,LOW,B5,0.7,0.5865,0.7,2.0,0.5865,6.427962,52.7,3
2023-06-12,0.6054,0.6876,0.5693,0.6633,wait,True,5,,,,,,,2.0,0.5693,20.779905,52.7,3
2023-06-13,0.6633,0.7294,0.6618,0.6983,wait,True,5,,,,,,,2.0,0.5693,28.122255,52.7,3
2023-06-14,0.6982,0.7131,0.6273,0.6506,wait,True,5,,,,,,,2.0,0.5693,25.25909,52.7,3
2023-06-15,0.6505,0.6592,0.6201,0.649,wait,True,5,,,,,,,2.0,0.5693,15.791323,52.7,3
2023-06-16,0.6489,0.7217,0.6227,0.7072,wait,True,5,,,,,,,2.0,0.5693,26.769717,52.7,3
2023-06-17,0.7072,0.785,0.7043,0.7541,wait,True,5,,,,,,,2.0,0.5693,37.888635,52.7,3
2023-06-18,0.7539,0.7961,0.7096,0.7207,wait,True,5,,,,,,,2.0,0.5693,39.838398,52.7,3
2023-06-19,0.7206,0.7926,0.7093,0.7851,wait,True,5,,,,,,,2.0,0.5693,39.223608,52.7,3
2023-06-20,0.7851,0.8278,0.7485,0.8189,wait,True,5,,,,,,,2.0,0.5693,45.40664,52.7,3
2023-06-21,0.819,0.8506,0.7686,0.8312,wait,True,5,,,,,,,2.0,0.5693,49.411558,52.7,3
2023-06-22,0.8312,0.8899,0.7901,0.803,wait,False,,SELL S5,HIGH,,,0.8899,0.8899,2.0,,,52.7,4
2023-06-23,0.803,0.8361,0.7781,0.7984,wait,True,4,BUY B4,LOW,B4,0.82,0.7781,0.82,2.0,0.7781,7.454055,37.4,4
2023-06-24,0.7983,0.7984,0.7232,0.7528,wait,True,4,,,,,,,2.0,0.7232,10.39823,37.4,4
2023-06-25,0.7529,0.7805,0.74,0.7451,wait,True,4,,,,,,,2.0,0.7232,7.923119,37.4,4
2023-06-26,0.7451,0.7605,0.7114,0.7265,wait,True,4,,,,,,,2.0,0.7114,6.901884,37.4,4
2023-06-27,0.7264,0.7575,0.7022,0.7203,wait,True,4,,,,,,,2.0,0.7022,7.875249,37.4,4
2023-06-28,0.7203,0.7208,0.6366,0.6631,wait,True,4,,,,,,,2.0,0.6366,13.226516,37.4,4
2023-06-29,0.6634,0.715,0.6603,0.6807,wait,True,4,,,,,,,2.0,0.6366,12.315426,37.4,4
2023-06-30,0.6808,0.7118,0.628,0.6891,wait,True,4,,,,,,,2.0,0.628,13.343949,37.4,4
2023-07-01,0.6888,0.691,0.6672,0.6893,wait,True,4,,,,,,,2.0,0.628,10.031847,37.4,4
2023-07-02,0.6895,0.6943,0.659,0.6907,wait,True,4,,,,,,,2.0,0.628,10.557325,37.4,4
2023-07-03,0.6907,0.7168,0.6854,0.7,wait,True,4,,,,,,,2.0,0.628,14.140127,37.4,4
2023-07-04,0.6998,0.7389,0.6788,0.6855,wait,True,4,,,,,,,2.0,0.628,17.659236,37.4,4
2023-07-05,0.6855,0.6917,0.645,0.6624,wait,True,4,,,,,,,2.0,0.628,10.143312,37.4,4
2023-07-06,0.6624,0.6821,0.6344,0.6495,wait,True,4,,,,,,,2.0,0.628,8.61465,37.4,4
2023-07-07,0.649,0.6667,0.6396,0.6613,wait,True,4,,,,,,,2.0,0.628,6.16242,37.4,4
2023-07-08,0.6615,0.6689,0.6412,0.6527,wait,True,4,,,,,,,2.0,0.628,6.512739,37.4,4
2023-07-09,0.6528,0.6667,0.65,0.6591,wait,True,4,,,,,,,2.0,0.628,6.16242,37.4,4
2023-07-10,0.6591,0.6668,0.6271,0.6551,wait,True,4,,,,,,,2.0,0.6271,6.330729,37.4,4
2023-07-11,0.6552,0.67,0.6427,0.6556,wait,True,4,,,,,,,2.0,0.6271,6.841014,37.4,4
2023-07-12,0.6556,0.6876,0.645,0.6556,wait,True,4,,,,,,,2.0,0.6271,9.647584,37.4,4
2023-07-13,0.6557,0.7164,0.6482,0.6978,wait,True,4,,,,,,,2.0,0.6271,14.240153,37.4,4
2023-07-14,0.6978,0.7634,0.658,0.6804,wait,True,4,,,,,,,2.0,0.6271,21.73497,37.4,4
2023-07-15,0.6801,0.6987,0.6671,0.6829,wait,True,4,,,,,,,2.0,0.6271,11.417637,37.4,4
2023-07-16,0.683,0.6942,0.6616,0.6726,wait,True,4,,,,,,,2.0,0.6271,10.700048,37.4,4
2023-07-17,0.6723,0.7322,0.665,0.7197,wait,True,4,,,,,,,2.0,0.6271,16.759687,37.4,4
2023-07-18,0.7197,0.785,0.7055,0.7361,wait,True,4,,,,,,,2.0,0.6271,25.179397,37.4,4
2023-07-19,0.7364,0.776,0.7024,0.71,wait,True,4,,,,,,,2.0,0.6271,23.744219,37.4,4
2023-07-20,0.7098,0.7282,0.6804,0.6885,wait,True,4,,,,,,,2.0,0.6271,16.121831,37.4,4
2023-07-21,0.6885,0.696,0.6712,0.6835,wait,True,4,,,,,,,2.0,0.6271,10.987083,37.4,4
2023-07-22,0.6836,0.705,0.6817,0.6936,wait,True,4,,,,,,,2.0,0.6271,12.422261,37.4,4
2023-07-23,0.6936,0.7039,0.6732,0.6787,wait,True,4,,,,,,,2.0,0.6271,12.246851,37.4,4
2023-07-24,0.6788,0.6806,0.609,0.6366,wait,True,4,,,,,,,2.0,0.609,11.756979,37.4,4
2023-07-25,0.6367,0.652,0.6248,0.6367,wait,True,4,,,,,,,2.0,0.609,7.060755,37.4,4
2023-07-26,0.6367,0.6434,0.6158,0.6346,wait,True,4,,,,,,,2.0,0.609,5.648604,37.4,4
