date,open,high,low,close,mode,L,H,cand_H,thr56,event
2020-09-22,0.85,7.0,0.85,5.3193,high,0.85,7.0,,,START_+98.5%_H=p
2020-09-23,5.3279,5.36,3.4,3.535,wait,3.4,7.0,7.0,3.92,TO_WAIT_-44%
2020-09-24,3.5305,4.8873,3.4033,4.6411,wait,3.4,7.0,,,
2020-09-25,4.6366,5.0234,4.2001,4.7134,wait,3.4,7.0,,,
2020-09-26,4.7164,4.82,4.3294,4.52,wait,3.4,7.0,,,
2020-09-27,4.5214,4.7134,4.1068,4.6484,wait,3.4,7.0,,,
2020-09-28,4.6485,4.705,4.1667,4.2021,wait,3.4,7.0,,,
2020-09-29,4.1999,4.2899,3.9607,4.1394,wait,3.4,7.0,,,
2020-09-30,4.1429,4.411,3.9958,4.3293,wait,3.4,7.0,,,
2020-10-01,4.3293,4.53,4.014,4.15,wait,3.4,7.0,,,
2020-10-02,4.1422,4.2198,3.6332,3.9115,wait,3.4,7.0,,,
2020-10-03,3.9156,4.19,3.8696,4.0168,wait,3.4,7.0,,,
2020-10-04,4.0202,4.0798,3.8334,3.964,wait,3.4,7.0,,,
2020-10-05,3.9582,4.0456,3.87,3.9813,wait,3.4,7.0,,,
2020-10-06,3.9949,4.0,3.5,3.5424,wait,3.4,7.0,,,
2020-10-07,3.5401,3.5462,3.207,3.442,wait,3.207,7.0,,,
2020-10-08,3.4409,3.9599,3.3228,3.9147,wait,3.207,7.0,,,
2020-10-09,3.9147,4.3252,3.8034,4.2491,wait,3.207,7.0,,,
2020-10-10,4.2427,4.2693,4.0001,4.023,wait,3.207,7.0,,,
2020-10-11,4.0205,4.1762,3.9333,4.096,wait,3.207,7.0,,,
2020-10-12,4.0841,4.71,4.054,4.41,wait,3.207,7.0,,,
2020-10-13,4.4099,4.5636,4.3203,4.4806,wait,3.207,7.0,,,
2020-10-14,4.4808,4.4848,4.0125,4.1596,wait,3.207,7.0,,,
2020-10-15,4.15,4.2312,3.9985,4.1269,wait,3.207,7.0,,,
2020-10-16,4.1266,4.1582,3.8755,4.0433,wait,3.207,7.0,,,
2020-10-17,4.0462,4.21,3.9673,4.1946,wait,3.207,7.0,,,
2020-10-18,4.1874,4.2461,4.0701,4.1195,wait,3.207,7.0,,,
2020-10-19,4.1371,4.1748,3.9926,4.05,wait,3.207,7.0,,,
2020-10-20,4.0568,4.0908,3.6925,3.804,wait,3.207,7.0,,,
2020-10-21,3.8007,4.103,3.7918,3.9585,wait,3.207,7.0,,,
2020-10-22,3.9574,4.4904,3.9511,4.3385,wait,3.207,7.0,,,
2020-10-23,4.3406,4.4872,4.1354,4.2568,wait,3.207,7.0,,,
2020-10-24,4.2539,4.362,4.14,4.1821,wait,3.207,7.0,,,
2020-10-25,4.1803,4.2526,4.1,4.1479,wait,3.207,7.0,,,
2020-10-26,4.1409,4.4897,4.0141,4.148,wait,3.207,7.0,,,
2020-10-27,4.1454,4.35,4.0343,4.1217,wait,3.207,7.0,,,
2020-10-28,4.1214,4.1792,3.9308,4.0596,wait,3.207,7.0,,,
2020-10-29,4.0607,4.1051,3.7296,3.7758,wait,3.207,7.0,,,
2020-10-30,3.7744,3.8226,3.5781,3.7224,wait,3.207,7.0,,,
2020-10-31,3.7116,3.7612,3.5876,3.6456,wait,3.207,7.0,,,
2020-11-01,3.6355,3.7142,3.5521,3.6814,wait,3.207,7.0,,,
2020-11-02,3.6851,3.8775,3.6145,3.617,wait,3.207,7.0,,,
2020-11-03,3.6174,3.6513,3.2368,3.323,wait,3.207,7.0,,,
2020-11-04,3.3299,3.3759,3.0,3.1718,wait,3.0,7.0,,,
2020-11-05,3.1736,3.3841,3.0211,3.3348,wait,3.0,7.0,,,
2020-11-06,3.335,3.6666,3.3194,3.5913,wait,3.0,7.0,,,
2020-11-07,3.594,3.9193,3.37,3.4126,wait,3.0,7.0,,,
2020-11-08,3.4093,3.67,3.3613,3.4754,wait,3.0,7.0,,,
2020-11-09,3.4674,3.5399,3.2619,3.4125,wait,3.0,7.0,,,
2020-11-10,3.421,3.63,3.369,3.5713,wait,3.0,7.0,,,
