date,open,high,low,close,mode,position,stage,event,basis,level_name,level_price,trigger_price,fill_price,H,L_now,rebound_from_L_pct,threshold_pct,forbidden_levels_above_last_sell,B1,B2,B3,B4,B5,B6,B7,Stop_Loss,cutoff_price,next_buy_level_name,next_buy_level_price,next_buy_trigger_price
2025-09-17,0.07686,0.07839,0.07373,0.07753,high,False,,,,,,,,0.07839,,,,7,0.0438984,0.0407628,0.0360594,0.0321399,0.0274365,0.0219492,0.0164619,0.0148941,,B7,0.0164619,0.07373
2025-09-18,0.07753,0.07795,0.07173,0.07262,high,False,,,,,,,,0.07839,,,,7,0.0438984,0.0407628,0.0360594,0.0321399,0.0274365,0.0219492,0.0164619,0.0148941,,B7,0.0164619,0.07173
2025-09-19,0.07262,0.07289,0.06881,0.06941,high,False,,,,,,,,0.07839,,,,7,0.0438984,0.0407628,0.0360594,0.0321399,0.0274365,0.0219492,0.0164619,0.0148941,,B7,0.0164619,0.06881
2025-09-20,0.06941,0.0721,0.0688,0.0695,high,False,,,,,,,,0.07839,,,,7,0.0438984,0.0407628,0.0360594,0.0321399,0.0274365,0.0219492,0.0164619,0.0148941,,B7,0.0164619,0.0688
2025-09-21,0.0695,0.06975,0.06139,0.06665,high,False,,,,,,,,0.07839,,,,7,0.0438984,0.0407628,0.0360594,0.0321399,0.0274365,0.0219492,0.0164619,0.0148941,,B7,0.0164619,0.06139
2025-09-22,0.06665,0.06948,0.06476,0.06807,high,False,,,,,,,,0.07839,,,,7,0.0438984,0.0407628,0.0360594,0.0321399,0.0274365,0.0219492,0.0164619,0.0148941,,B7,0.0164619,0.06476
2025-09-23,0.06807,0.0723,0.06682,0.06686,high,False,,,,,,,,0.07839,,,,7,0.0438984,0.0407628,0.0360594,0.0321399,0.0274365,0.0219492,0.0164619,0.0148941,,B7,0.0164619,0.06682
2025-09-24,0.06687,0.06737,0.06375,0.06499,high,False,,,,,,,,0.07839,,,,7,0.0438984,0.0407628,0.0360594,0.0321399,0.0274365,0.0219492,0.0164619,0.0148941,,B7,0.0164619,0.06375
2025-09-25,0.065,0.06918,0.06387,0.06718,high,False,,,,,,,,0.07839,,,,7,0.0438984,0.0407628,0.0360594,0.0321399,0.0274365,0.0219492,0.0164619,0.0148941,,B7,0.0164619,0.06387
2025-09-26,0.0672,0.06758,0.06455,0.06458,high,False,,,,,,,,0.07839,,,,7,0.0438984,0.0407628,0.0360594,0.0321399,0.0274365,0.0219492,0.0164619,0.0148941,,B7,0.0164619,0.06455
2025-09-27,0.06458,0.06909,0.06396,0.06861,high,False,,,,,,,,0.07839,,,,7,0.0438984,0.0407628,0.0360594,0.0321399,0.0274365,0.0219492,0.0164619,0.0148941,,B7,0.0164619,0.06396
2025-09-28,0.06862,0.06887,0.06531,0.0656,high,False,,,,,,,,0.07839,,,,7,0.0438984,0.0407628,0.0360594,0.0321399,0.0274365,0.0219492,0.0164619,0.0148941,,B7,0.0164619,0.06531
2025-09-29,0.06558,0.06888,0.06422,0.06799,high,False,,,,,,,,0.07839,,,,7,0.0438984,0.0407628,0.0360594,0.0321399,0.0274365,0.0219492,0.0164619,0.0148941,,B7,0.0164619,0.06422
2025-09-30,0.06799,0.07299,0.06718,0.07077,high,False,,,,,,,,0.07839,,,,7,0.0438984,0.0407628,0.0360594,0.0321399,0.0274365,0.0219492,0.0164619,0.0148941,,B7,0.0164619,0.06718
2025-10-01,0.07078,0.0718,0.06905,0.07013,high,False,,,,,,,,0.07839,,,,7,0.0438984,0.0407628,0.0360594,0.0321399,0.0274365,0.0219492,0.0164619,0.0148941,,B7,0.0164619,0.06905
2025-10-02,0.07013,0.0706,0.06793,0.06944,high,False,,,,,,,,0.07839,,,,7,0.0438984,0.0407628,0.0360594,0.0321399,0.0274365,0.0219492,0.0164619,0.0148941,,B7,0.0164619,0.06793
2025-10-03,0.06944,0.06983,0.06656,0.06718,high,False,,,,,,,,0.07839,,,,7,0.0438984,0.0407628,0.0360594,0.0321399,0.0274365,0.0219492,0.0164619,0.0148941,,B7,0.0164619,0.06656
2025-10-04,0.06717,0.0702,0.06687,0.06717,high,False,,,,,,,,0.07839,,,,7,0.0438984,0.0407628,0.0360594,0.0321399,0.0274365,0.0219492,0.0164619,0.0148941,,B7,0.0164619,0.06687
2025-10-05,0.06718,0.06967,0.06704,0.06933,high,False,,,,,,,,0.07839,,,,7,0.0438984,0.0407628,0.0360594,0.0321399,0.0274365,0.0219492,0.0164619,0.0148941,,B7,0.0164619,0.06704
2025-10-06,0.06932,0.07042,0.06627,0.0667,high,False,,,,,,,,0.07839,,,,7,0.0438984,0.0407628,0.0360594,0.0321399,0.0274365,0.0219492,0.0164619,0.0148941,,B7,0.0164619,0.06627
2025-10-07,0.06669,0.06921,0.06593,0.06897,high,False,,,,,,,,0.07839,,,,7,0.0438984,0.0407628,0.0360594,0.0321399,0.0274365,0.0219492,0.0164619,0.0148941,,B7,0.0164619,0.06593
2025-10-08,0.06896,0.06903,0.06694,0.06694,high,False,,,,,,,,0.07839,,,,7,0.0438984,0.0407628,0.0360594,0.0321399,0.0274365,0.0219492,0.0164619,0.0148941,,B7,0.0164619,0.06694
2025-10-09,0.06693,0.06866,0.06107,0.06107,high,False,,,,,,,,0.07839,,,,7,0.0438984,0.0407628,0.0360594,0.0321399,0.0274365,0.0219492,0.0164619,0.0148941,,B7,0.0164619,0.06107
2025-10-10,0.06112,0.06313,0.056,0.058,high,False,,,,,,,,0.07839,,,,7,0.0438984,0.0407628,0.0360594,0.0321399,0.0274365,0.0219492,0.0164619,0.0148941,,B7,0.0164619,0.056
2025-10-11,0.05798,0.06383,0.05773,0.06301,high,False,,,,,,,,0.07839,,,,7,0.0438984,0.0407628,0.0360594,0.0321399,0.0274365,0.0219492,0.0164619,0.0148941,,B7,0.0164619,0.05773
2025-10-12,0.06303,0.06569,0.06196,0.06533,high,False,,,,,,,,0.07839,,,,7,0.0438984,0.0407628,0.0360594,0.0321399,0.0274365,0.0219492,0.0164619,0.0148941,,B7,0.0164619,0.06196
2025-10-13,0.06534,0.06551,0.05943,0.06341,high,False,,,,,,,,0.07839,,,,7,0.0438984,0.0407628,0.0360594,0.0321399,0.0274365,0.0219492,0.0164619,0.0148941,,B7,0.0164619,0.05943
2025-10-14,0.0634,0.0649,0.05855,0.05991,high,False,,,,,,,,0.07839,,,,7,0.0438984,0.0407628,0.0360594,0.0321399,0.0274365,0.0219492,0.0164619,0.0148941,,B7,0.0164619,0.05855
2025-10-15,0.05991,0.06056,0.05853,0.0603,high,False,,,,,,,,0.07839,,,,7,0.0438984,0.0407628,0.0360594,0.0321399,0.0274365,0.0219492,0.0164619,0.0148941,,B7,0.0164619,0.05853
