date,open,high,low,close,mode,position,stage,event,basis,level_name,level_price,trigger_price,fill_price,H,L_now,rebound_from_L_pct,threshold_pct,forbidden_levels_above_last_sell,B1,B2,B3,B4,B5,B6,B7,cutoff_price,next_buy_level_name,next_buy_level_price,next_buy_trigger_price
2023-05-06,3.73e-06,3.85e-06,2.29e-06,2.63e-06,wait,True,1,BUY B1,LOW,B1,2.46e-06,2.29e-06,2.46e-06,4.39e-06,2.29e-06,,,7,2.4584e-06,2.2828e-06,2.0194e-06,1.7999e-06,1.5365e-06,1.2292e-06,9.219e-07,,B1,2.4584e-06,2.29e-06
2023-05-06,3.73e-06,3.85e-06,2.29e-06,2.63e-06,wait,False,,SELL S,HIGH,,,2.47e-06,2.47e-06,4.39e-06,2.29e-06,,7.7,7,2.4584e-06,2.2828e-06,2.0194e-06,1.7999e-06,1.5365e-06,1.2292e-06,9.219e-07,2.4663e-06,,,
2023-05-06,3.73e-06,3.85e-06,2.29e-06,2.63e-06,wait,False,,,,,,,,4.39e-06,2.29e-06,68.122271,7.7,7,2.4584e-06,2.2828e-06,2.0194e-06,1.7999e-06,1.5365e-06,1.2292e-06,9.219e-07,2.4663e-06,B1,2.4584e-06,2.29e-06
2023-05-07,2.63e-06,3.1e-06,2.41e-06,2.79e-06,wait,True,1,BUY B1,LOW,B1,2.46e-06,2.41e-06,2.46e-06,4.39e-06,2.29e-06,,,7,2.4584e-06,2.2828e-06,2.0194e-06,1.7999e-06,1.5365e-06,1.2292e-06,9.219e-07,2.4663e-06,B1,2.4584e-06,2.41e-06
2023-05-07,2.63e-06,3.1e-06,2.41e-06,2.79e-06,wait,False,,SELL S,HIGH,,,2.47e-06,2.47e-06,4.39e-06,2.29e-06,,7.7,7,2.4584e-06,2.2828e-06,2.0194e-06,1.7999e-06,1.5365e-06,1.2292e-06,9.219e-07,2.4663e-06,,,
2023-05-07,2.63e-06,3.1e-06,2.41e-06,2.79e-06,wait,False,,,,,,,,4.39e-06,2.29e-06,35.371179,7.7,7,2.4584e-06,2.2828e-06,2.0194e-06,1.7999e-06,1.5365e-06,1.2292e-06,9.219e-07,2.4663e-06,B1,2.4584e-06,2.41e-06
2023-05-08,2.79e-06,2.81e-06,1.54e-06,1.94e-06,wait,True,1,BUY B1,LOW,B1,2.46e-06,1.54e-06,2.46e-06,4.39e-06,1.54e-06,,,7,2.4584e-06,2.2828e-06,2.0194e-06,1.7999e-06,1.5365e-06,1.2292e-06,9.219e-07,2.4663e-06,B1,2.4584e-06,1.54e-06
2023-05-08,2.79e-06,2.81e-06,1.54e-06,1.94e-06,wait,True,2,ADD B2,LOW,B2,2.28e-06,1.54e-06,2.28e-06,4.39e-06,1.54e-06,,,7,2.4584e-06,2.2828e-06,2.0194e-06,1.7999e-06,1.5365e-06,1.2292e-06,9.219e-07,2.4663e-06,B2,2.2828e-06,1.54e-06
2023-05-08,2.79e-06,2.81e-06,1.54e-06,1.94e-06,wait,True,3,ADD B3,LOW,B3,2.02e-06,1.54e-06,2.02e-06,4.39e-06,1.54e-06,,,7,2.4584e-06,2.2828e-06,2.0194e-06,1.7999e-06,1.5365e-06,1.2292e-06,9.219e-07,2.4663e-06,B3,2.0194e-06,1.54e-06
2023-05-08,2.79e-06,2.81e-06,1.54e-06,1.94e-06,wait,True,4,ADD B4,LOW,B4,1.8e-06,1.54e-06,1.8e-06,4.39e-06,1.54e-06,,,7,2.4584e-06,2.2828e-06,2.0194e-06,1.7999e-06,1.5365e-06,1.2292e-06,9.219e-07,2.4663e-06,B4,1.7999e-06,1.54e-06
2023-05-08,2.79e-06,2.81e-06,1.54e-06,1.94e-06,wait,False,,SELL S,HIGH,,,2.12e-06,2.12e-06,4.39e-06,1.54e-06,,37.4,5,2.4584e-06,2.2828e-06,2.0194e-06,1.7999e-06,1.5365e-06,1.2292e-06,9.219e-07,2.116e-06,,,
2023-05-08,2.79e-06,2.81e-06,1.54e-06,1.94e-06,wait,False,,,,,,,,4.39e-06,1.54e-06,82.467532,37.4,5,2.4584e-06,2.2828e-06,2.0194e-06,1.7999e-06,1.5365e-06,1.2292e-06,9.219e-07,2.116e-06,B3,2.0194e-06,1.54e-06
2023-05-09,1.95e-06,2.14e-06,1.73e-06,2.01e-06,wait,True,3,BUY B3,LOW,B3,2.02e-06,1.73e-06,2.02e-06,4.39e-06,1.54e-06,,,5,2.4584e-06,2.2828e-06,2.0194e-06,1.7999e-06,1.5365e-06,1.2292e-06,9.219e-07,2.116e-06,B3,2.0194e-06,1.73e-06
2023-05-09,1.95e-06,2.14e-06,1.73e-06,2.01e-06,wait,True,4,ADD B4,LOW,B4,1.8e-06,1.73e-06,1.8e-06,4.39e-06,1.54e-06,,,5,2.4584e-06,2.2828e-06,2.0194e-06,1.7999e-06,1.5365e-06,1.2292e-06,9.219e-07,2.116e-06,B4,1.7999e-06,1.73e-06
2023-05-09,1.95e-06,2.14e-06,1.73e-06,2.01e-06,wait,False,,SELL S,HIGH,,,2.12e-06,2.12e-06,4.39e-06,1.54e-06,,37.4,5,2.4584e-06,2.2828e-06,2.0194e-06,1.7999e-06,1.5365e-06,1.2292e-06,9.219e-07,2.116e-06,,,
2023-05-09,1.95e-06,2.14e-06,1.73e-06,2.01e-06,wait,False,,,,,,,,4.39e-06,1.54e-06,38.961039,37.4,5,2.4584e-06,2.2828e-06,2.0194e-06,1.7999e-06,1.5365e-06,1.2292e-06,9.219e-07,2.116e-06,B3,2.0194e-06,1.73e-06
2023-05-10,2.01e-06,2.13e-06,1.69e-06,1.93e-06,wait,True,3,BUY B3,LOW,B3,2.02e-06,1.69e-06,2.02e-06,4.39e-06,1.54e-06,,,5,2.4584e-06,2.2828e-06,2.0194e-06,1.7999e-06,1.5365e-06,1.2292e-06,9.219e-07,2.116e-06,B3,2.0194e-06,1.69e-06
2023-05-10,2.01e-06,2.13e-06,1.69e-06,1.93e-06,wait,True,4,ADD B4,LOW,B4,1.8e-06,1.69e-06,1.8e-06,4.39e-06,1.54e-06,,,5,2.4584e-06,2.2828e-06,2.0194e-06,1.7999e-06,1.5365e-06,1.2292e-06,9.219e-07,2.116e-06,B4,1.7999e-06,1.69e-06
2023-05-10,2.01e-06,2.13e-06,1.69e-06,1.93e-06,wait,False,,SELL S,HIGH,,,2.12e-06,2.12e-06,4.39e-06,1.54e-06,,37.4,5,2.4584e-06,2.2828e-06,2.0194e-06,1.7999e-06,1.5365e-06,1.2292e-06,9.219e-07,2.116e-06,,,
2023-05-10,2.01e-06,2.13e-06,1.69e-06,1.93e-06,wait,False,,,,,,,,4.39e-06,1.54e-06,38.311688,37.4,5,2.4584e-06,2.2828e-06,2.0194e-06,1.7999e-06,1.5365e-06,1.2292e-06,9.219e-07,2.116e-06,B3,2.0194e-06,1.69e-06
