date,open,high,low,close,H,L_now,mode,stage,event,next_buy_level_name,next_buy_level_price,cutoff_price,position,basis,level_name,level_price,trigger_price,fill_price,rebound_from_L_pct,threshold_pct,forbidden_levels_above_last_sell,B1,B2,B3,B4,B5,B6,B7,next_buy_trigger_price
2020-10-08,0.09372,0.09731,0.08975,0.09632,3.101,0.08975,wait,,,,,,False,,,,,,,,7,1.73656,1.61252,1.42646,1.27141,1.08535,0.86828,0.65121,0.08975
2020-10-09,0.09632,0.10255,0.09485,0.10129,3.101,0.08975,wait,,,,,,False,,,,,,,,7,1.73656,1.61252,1.42646,1.27141,1.08535,0.86828,0.65121,0.09485
2020-10-10,0.10133,0.11151,0.10133,0.10493,3.101,0.08975,wait,,,,,,False,,,,,,,,7,1.73656,1.61252,1.42646,1.27141,1.08535,0.86828,0.65121,0.10133
2020-10-11,0.10488,0.10899,0.10415,0.10648,3.101,0.08975,wait,,,,,,False,,,,,,,,7,1.73656,1.61252,1.42646,1.27141,1.08535,0.86828,0.65121,0.10415
2020-10-12,0.10652,0.11369,0.10216,0.10945,3.101,0.08975,wait,,,,,,False,,,,,,,,7,1.73656,1.61252,1.42646,1.27141,1.08535,0.86828,0.65121,0.10216
2020-10-13,0.10951,0.11428,0.10751,0.10925,3.101,0.08975,wait,,,,,,False,,,,,,,,7,1.73656,1.61252,1.42646,1.27141,1.08535,0.86828,0.65121,0.10751
2020-10-14,0.10927,0.11238,0.10519,0.10703,3.101,0.08975,wait,,,,,,False,,,,,,,,7,1.73656,1.61252,1.42646,1.27141,1.08535,0.86828,0.65121,0.10519
2020-10-15,0.10703,0.10782,0.10441,0.10666,3.101,0.08975,wait,,,,,,False,,,,,,,,7,1.73656,1.61252,1.42646,1.27141,1.08535,0.86828,0.65121,0.10441
2020-10-16,0.10664,0.10733,0.10218,0.10414,3.101,0.08975,wait,,,,,,False,,,,,,,,7,1.73656,1.61252,1.42646,1.27141,1.08535,0.86828,0.65121,0.10218
2020-10-17,0.10415,0.10739,0.10316,0.10598,3.101,0.08975,wait,,,,,,False,,,,,,,,7,1.73656,1.61252,1.42646,1.27141,1.08535,0.86828,0.65121,0.10316
2020-10-18,0.10589,0.10761,0.10501,0.10735,3.101,0.08975,wait,,,,,,False,,,,,,,,7,1.73656,1.61252,1.42646,1.27141,1.08535,0.86828,0.65121,0.10501
