date,open,high,low,close,H,L_now,mode,stage,event,next_buy_level_name,next_buy_level_price,cutoff_price,position,basis,level_name,level_price,trigger_price,fill_price,rebound_from_L_pct,threshold_pct,forbidden_levels_above_last_sell,B1,B2,B3,B4,B5,B6,B7,next_buy_trigger_price
2020-10-08,2.9629,3.4654,2.6428,3.3499,45.0,2.6428,wait,,,,,,False,,,,,,,,7,25.2,23.4,20.7,18.45,15.75,12.6,9.45,2.6428
2020-10-09,3.3499,3.6,3.1749,3.3834,45.0,2.6428,wait,,,,,,False,,,,,,,,7,25.2,23.4,20.7,18.45,15.75,12.6,9.45,3.1749
2020-10-10,3.38,3.6578,3.2664,3.2989,45.0,2.6428,wait,,,,,,False,,,,,,,,7,25.2,23.4,20.7,18.45,15.75,12.6,9.45,3.2664
2020-10-11,3.2956,3.451,3.1776,3.3626,45.0,2.6428,wait,,,,,,False,,,,,,,,7,25.2,23.4,20.7,18.45,15.75,12.6,9.45,3.1776
2020-10-12,3.36,3.5994,3.282,3.4599,45.0,2.6428,wait,,,,,,False,,,,,,,,7,25.2,23.4,20.7,18.45,15.75,12.6,9.45,3.282
2020-10-13,3.4554,3.5,3.2931,3.3546,45.0,2.6428,wait,,,,,,False,,,,,,,,7,25.2,23.4,20.7,18.45,15.75,12.6,9.45,3.2931
2020-10-14,3.3511,3.44,2.97,3.1123,45.0,2.6428,wait,,,,,,False,,,,,,,,7,25.2,23.4,20.7,18.45,15.75,12.6,9.45,2.97
2020-10-15,3.1105,3.1674,2.915,3.0793,45.0,2.6428,wait,,,,,,False,,,,,,,,7,25.2,23.4,20.7,18.45,15.75,12.6,9.45,2.915
2020-10-16,3.0765,3.3803,2.8813,3.0426,45.0,2.6428,wait,,,,,,False,,,,,,,,7,25.2,23.4,20.7,18.45,15.75,12.6,9.45,2.8813
2020-10-17,3.0436,3.1249,2.9703,3.0566,45.0,2.6428,wait,,,,,,False,,,,,,,,7,25.2,23.4,20.7,18.45,15.75,12.6,9.45,2.9703
2020-10-18,3.0574,3.291,3.0472,3.2811,45.0,2.6428,wait,,,,,,False,,,,,,,,7,25.2,23.4,20.7,18.45,15.75,12.6,9.45,3.0472
2020-10-19,3.2797,3.2885,3.11,3.1703,45.0,2.6428,wait,,,,,,False,,,,,,,,7,25.2,23.4,20.7,18.45,15.75,12.6,9.45,3.11
