date,symbol,action,cand_H,level,qty,price,note,pnl
2020-09-03,LINK,LADDER_CREATE,20.1111,,,,,
2020-09-03,LINK,BUY,,0.44,1.0,11.262216,FILL,
2020-09-05,LINK,BUY,,0.48,1.0,10.457772,FILL,
2020-09-05,LINK,BUY,,0.54,1.0,9.251106,FILL,
2020-09-23,LINK,BUY,,0.59,1.0,8.245551,FILL,
2020-11-20,LINK,SELL,,0.44,1.0,14.0933,CYCLE_RESET,2.831083999999999
2020-11-20,LINK,SELL,,0.48,1.0,14.0933,CYCLE_RESET,3.635527999999999
2020-11-20,LINK,SELL,,0.54,1.0,14.0933,CYCLE_RESET,4.842193999999999
2020-11-20,LINK,SELL,,0.59,1.0,14.0933,CYCLE_RESET,5.8477489999999985
2020-12-23,LINK,LADDER_CREATE,16.39,,,,,
2020-12-23,LINK,BUY,,0.44,1.0,9.178400000000002,FILL,
2020-12-23,LINK,BUY,,0.48,1.0,8.5228,FILL,
2021-01-06,LINK,SELL,,0.44,1.0,17.2322,CYCLE_RESET,8.053799999999997
2021-01-06,LINK,SELL,,0.48,1.0,17.2322,CYCLE_RESET,8.709399999999999
2021-05-19,LINK,LADDER_CREATE,53.0,,,,,
2021-05-19,LINK,BUY,,0.44,1.0,29.680000000000003,FILL,
2021-05-19,LINK,BUY,,0.48,1.0,27.560000000000002,FILL,
2021-05-19,LINK,BUY,,0.54,1.0,24.38,FILL,
2021-05-19,LINK,BUY,,0.59,1.0,21.73,FILL,
2021-05-23,LINK,BUY,,0.65,1.0,18.549999999999997,FILL,
2021-05-26,LINK,SELL,,0.44,1.0,34.018,CYCLE_RESET,4.337999999999997
2021-05-26,LINK,SELL,,0.48,1.0,34.018,CYCLE_RESET,6.457999999999998
2021-05-26,LINK,SELL,,0.54,1.0,34.018,CYCLE_RESET,9.638000000000002
2021-05-26,LINK,SELL,,0.59,1.0,34.018,CYCLE_RESET,12.288
2021-05-26,LINK,SELL,,0.65,1.0,34.018,CYCLE_RESET,15.468000000000004
2021-06-20,LINK,LADDER_CREATE,35.334,,,,,
2021-06-20,LINK,BUY,,0.44,1.0,19.787040000000005,FILL,
2021-06-21,LINK,BUY,,0.48,1.0,18.373680000000004,FILL,
2021-06-22,LINK,BUY,,0.54,1.0,16.25364,FILL,
2021-07-19,LINK,BUY,,0.59,1.0,14.486940000000002,FILL,
2021-08-11,LINK,SELL,,0.44,1.0,25.906,CYCLE_RESET,6.118959999999994
2021-08-11,LINK,SELL,,0.48,1.0,25.906,CYCLE_RESET,7.532319999999995
2021-08-11,LINK,SELL,,0.54,1.0,25.906,CYCLE_RESET,9.652359999999998
2021-08-11,LINK,SELL,,0.59,1.0,25.906,CYCLE_RESET,11.419059999999996
2021-12-04,LINK,LADDER_CREATE,38.31,,,,,
2021-12-04,LINK,BUY,,0.44,1.0,21.4536,FILL,
2021-12-04,LINK,BUY,,0.48,1.0,19.921200000000002,FILL,
2021-12-04,LINK,BUY,,0.54,1.0,17.6226,FILL,
2021-12-04,LINK,BUY,,0.59,1.0,15.707100000000002,FILL,
2022-02-21,LINK,BUY,,0.65,1.0,13.4085,FILL,
2022-04-30,LINK,BUY,,0.72,1.0,10.7268,FILL,
2022-05-09,LINK,BUY,,0.79,1.0,8.0451,FILL,
2023-10-22,LINK,SELL,,0.44,1.0,10.19,CYCLE_RESET,-11.263600000000002
2023-10-22,LINK,SELL,,0.48,1.0,10.19,CYCLE_RESET,-9.731200000000003
2023-10-22,LINK,SELL,,0.54,1.0,10.19,CYCLE_RESET,-7.432599999999999
2023-10-22,LINK,SELL,,0.59,1.0,10.19,CYCLE_RESET,-5.517100000000003
2023-10-22,LINK,SELL,,0.65,1.0,10.19,CYCLE_RESET,-3.2185000000000006
2023-10-22,LINK,SELL,,0.72,1.0,10.19,CYCLE_RESET,-0.5368000000000013
2023-10-22,LINK,SELL,,0.79,1.0,10.19,CYCLE_RESET,2.1449
2024-04-13,LINK,LADDER_CREATE,22.868,,,,,
2024-04-13,LINK,BUY,,0.44,1.0,12.80608,FILL,
2024-04-13,LINK,BUY,,0.48,1.0,11.891359999999999,FILL,
2024-08-04,LINK,BUY,,0.54,1.0,10.519279999999998,FILL,
2024-08-05,LINK,BUY,,0.59,1.0,9.37588,FILL,
2024-11-22,LINK,SELL,,0.44,1.0,16.57,CYCLE_RESET,3.7639200000000006
2024-11-22,LINK,SELL,,0.48,1.0,16.57,CYCLE_RESET,4.6786400000000015
2024-11-22,LINK,SELL,,0.54,1.0,16.57,CYCLE_RESET,6.050720000000002
2024-11-22,LINK,SELL,,0.59,1.0,16.57,CYCLE_RESET,7.19412
2025-02-03,LINK,LADDER_CREATE,30.94,,,,,
2025-02-03,LINK,BUY,,0.44,1.0,17.326400000000003,FILL,
2025-02-03,LINK,BUY,,0.48,1.0,16.088800000000003,FILL,
2025-02-25,LINK,BUY,,0.54,1.0,14.2324,FILL,
2025-03-10,LINK,BUY,,0.59,1.0,12.685400000000001,FILL,
2025-04-07,LINK,BUY,,0.65,1.0,10.829,FILL,
2025-07-21,LINK,SELL,,0.44,1.0,19.5,CYCLE_RESET,2.173599999999997
2025-07-21,LINK,SELL,,0.48,1.0,19.5,CYCLE_RESET,3.4111999999999973
2025-07-21,LINK,SELL,,0.54,1.0,19.5,CYCLE_RESET,5.2676
2025-07-21,LINK,SELL,,0.59,1.0,19.5,CYCLE_RESET,6.814599999999999
2025-07-21,LINK,SELL,,0.65,1.0,19.5,CYCLE_RESET,8.671
